Comuna ;N° de casos;Casos nuevos;Casos activos
Padre Las Casas;18.080;17;130
Perquenco;2.060;9;13
Pitrufquén;6.151;22;72
Pucón;7.926;24;98
Purén;2.559;4;25
Renaico;2.901;13;29
Saavedra;2.970;4;12
Temuco;80.509;307;1026
Teodoro Schmidt;3.213;9;35
Toltén;2.521;4;27
Traiguén;3.916;9;23
Victoria;7.882;6;32
Vilcún;6.586;18;68
Villarrica;14.524;29;108
Total General;239.642;670;2.415
